政 ,セイ ショウ マ ,まつりごと ,"politics, government"
暴 ,ボウ バク ,あば.く あば.れる ,"outburst, rave, fret, force, violence, cruelty, outrage"
輪 ,リン ,,"wheel, ring, circle, link, loop, counter for wheels and flowers"
占 ,セン ウラナ. ,し.める ,"fortune-telling, divining, forecasting, occupy, hold, have, get, take"
背 ,ハイ ,せ せい そむ.く そむ.ける ,"stature, height, back, behind, disobey, defy, go back on, rebel"
植 ,ショク ウ.ワ ,う.える ,plant
熱 ,ネツ アツ. ,,"heat, temperature, fever, mania, passion"
宿 ,シュク ヤド. ,やど やど.る ,"inn, lodging, relay station, dwell, lodge, be pregnant, home, dwelling"
薬 ,ヤク クス ,,"medicine, chemical, enamel, gunpowder, benefit"
清 ,セイ ショウ シン キヨ.メ ,きよ.い きよ.まる ,"pure, purify, cleanse, exorcise, Manchu dynasty"
険 ,ケン ,けわ.しい ,"precipitous, inaccessible place, impregnable position, steep place, sharp eyes"
頼 ,ライ タヨ. ,たの.む たの.もしい ,"trust, request"
覚 ,カク ,おぼ.える さ.ます さ.める さと.る ,"memorize, learn, remember, awake, sober up"
船 ,セン ,ふね ふな ,"ship, boat"
倍 ,バ ,,"double, twice, times, fold"
均 ,キン ナラ. ,,"level, average"
億 ,オ ,,"hundred million, 10**8"
途 ,,,"route, way, road"
圧 ,アツ エン オウ ,お.す へ.す おさ.える お.さえる ,"pressure, push, overwhelm, oppress, dominate"
芸 ,ゲイ ウン ワ ,う.える のり ,"technique, art, craft, performance, acting, trick, stunt"
許 ,キョ ,ゆる.す もと ,"permit, approve"
署 ,ショ ,,"signature, govt office, police station"
抜 ,バツ ハツ ハイ ヌ.カ ,ぬ.く -ぬ.く ぬ.き ぬ.ける ぬ.かす ,"slip out, extract, pull out, pilfer, quote, remove, omit"
便 ,ベン ビン ,たよ.り ,convenience
伸 ,シン ノ. ,の.びる の.ばす の.べる ,"expand, stretch, extend, lengthen, increase"
留 ,リュウ ル ルウブ ,と.める と.まる とど.める とど.まる ,"detain, fasten, halt, stop"
罪 ,ザイ ,つみ ,"guilt, sin, crime, fault, blame, offense"
停 ,テイ ,と.める と.まる ,"halt, stopping"
爆 ,バク ,は.ぜる ,"bomb, burst open, pop, split"
陸 ,リク ロク オ ,,"land, six"
玉 ,ギョク -ダ ,たま たま- ,"jewel, ball"
波 ,ハ ナ ,,"waves, billows, Poland"
帯 ,タイ オ ,お.びる ,"sash, belt, obi, zone, region"
延 ,エン ノ.バ ,の.びる の.べる の.べ ,"prolong, stretching"
羽 ,ウ ハ ,は わ ,"feathers, counter for birds, rabbits"
努 ,ド ,つと.める ,"toil, diligent, as much as possible"
固 ,コ ,かた.める かた.まる かた.まり かた.い ,"harden, set, clot, curdle"
精 ,セイ ショウ シヤ ,,"refined, ghost, fairy, energy, vitality, semen, excellence, purity, skill"
則 ,ソク ノット. ,,"rule, follow, based on, model after"
乱 ,ラン ロン ワタ. ,みだ.れる みだ.る みだ.す みだ おさ.める ,"riot, war, disorder, disturb"
普 ,フ アマネ ,あまね.く ,"universal, wide(ly), generally, Prussia"
散 ,サン バ ,ち.る ち.らす -ち.らす ち.らかす ち.らかる ,"scatter, disperse, spend, squander"
測 ,ソク ,はか.る ,"fathom, plan, scheme, measure"
豊 ,ホウ ブ ト ,ゆた.か ,"bountiful, excellent, rich"
静 ,セイ ジョウ シズ.メ ,しず- しず.か しず.まる ,quiet
婚 ,コン ,,marriage
厚 ,コウ ア ,あつ.い ,"thick, heavy, rich, kind, cordial, brazen, shameless"
喜 ,キ ヨロコ.バ ,よろこ.ぶ ,"rejoice, take pleasure in"
齢 ,レイ ,よわ.い とし ,age
囲 ,イ ,かこ.む かこ.う かこ.い ,"surround, besiege, store, paling, enclosure, encircle, preserve, keep"
卒 ,ソツ シュツ ,そっ.する お.える お.わる ついに にわか ,"graduate, soldier, private, die"
略 ,リャク ,ほぼ おか.す おさ.める はかりごと はか.る はぶ.く りゃく.す りゃく.する ,"abbreviation, omission, outline, shorten, capture, plunder"
承 ,ショウ ウ.ケ ,うけたまわ.る ,"acquiesce, hear, listen to, be informed, receive"
浮 ,フ ウ.カベ ,う.く う.かれる う.かぶ む ,"floating, float, rise to surface"
順 ,ジュ ,,"obey, order, turn, right, docility, occasion"
絶 ,ゼツ ,た.える た.やす た.つ ,"discontinue, beyond, sever, cut off, abstain, interrupt, suppress"
幸 ,コウ シアワ. ,さいわ.い さち ,"happiness, blessing, fortune"
岩 ,ガン ,いわ ,"boulder, rock, cliff"
練 ,レン ネ. ,ね.る ,"practice, gloss, train, drill, polish, refine"
押 ,オウ オサ.エ ,お.す お.し- お.っ- お.さえる ,"push, stop, check, subdue, attach, seize, weight, shove, press, seal, do in spite of"
軽 ,ケイ ,かる.い かろ.やか かろ.んじる ,"lightly, trifling, unimportant"
倒 ,トウ ,たお.れる -だお.れ たお.す ,"overthrow, fall, collapse, drop, break down"
了 ,リョ ,,"complete, finish"
庁 ,チョウ テイ ,やくしょ ,government office
城 ,ジョウ シ ,,castle
患 ,カン ワズラ. ,,"afflicted, disease, suffer from, be ill"
等 ,トウ - ,ひと.しい など ,"etc., and so forth, class (first), quality, equal, similar"
層 ,ソウ ,,"stratum, social class, layer, story, floor"
版 ,ハン ,,"printing block, printing plate, edition, impression, label"
老 ,ロウ フ.ケ ,お.いる ,"old man, old age, grow old"
令 ,レ ,,"orders, ancient laws, command, decree"
角 ,カク ツ ,かど ,"angle, corner, square, horn, antlers"
絡 ,ラク ,から.む から.まる ,"entwine, coil around, get caught in"
損 ,ソン ,そこ.なう そこな.う -そこ.なう そこ.ねる -そこ.ねる ,"damage, loss, disadvantage, hurt, injure"
募 ,ボ ,つの.る ,"recruit, campaign, gather (contributions), enlist, grow violent"
曲 ,キョク マ.ゲ ,ま.がる ,"bend, music, melody, composition, pleasure, injustice, fault, curve, crooked, perverse, lean"
裏 ,リ ,うら ,"back, amidst, in, reverse, inside, palm, sole, rear, lining, wrong side"
払 ,フツ ヒツ ホツ -バラ. ,はら.う -はら.い ,"pay, clear out, prune, banish, dispose of"
庭 ,テイ ニ ,,"courtyard, garden, yard"
徒 ,ト ア ,いたずら ,"junior, emptiness, vanity, futility, uselessness, ephemeral thing, gang, set, party, people"
仏 ,ブツ フツ ,ほとけ ,"Buddha, the dead, France"
績 ,セ ,,"exploits, unreeling cocoons"
築 ,チク キズ. ,,"fabricate, build, construct"
貨 ,カ ,,"freight, goods, property"
混 ,コン ,ま.じる -ま.じり ま.ざる ま.ぜる こ.む ,"mix, blend, confuse"
昇 ,ショウ ノボ. ,,rise up
池 ,チ ,いけ ,"pond, cistern, pool, reservoir"
勤 ,キン ゴン ,つと.める -づと.め つと.まる いそ.しむ ,"diligence, become employed, serve"
血 ,ケツ ,ち ,blood
遅 ,チ オソ. ,おく.れる おく.らす ,"slow, late, back, later"
居 ,キョ コ オ. ,い.る -い ,"reside, to be, exist, live with"
温 ,オン ヌ ,あたた.か あたた.かい あたた.まる あたた.める ,warm
雑 ,ザツ ゾウ ,まじ.える まじ.る ,miscellaneous
招 ,ショウ ,まね.く ,"beckon, invite, summon, engage"
季 ,,,seasons
困 ,コン ,こま.る ,"quandary, become distressed, annoyed"
星 ,セイ ショウ ,ほし -ぼし ,"star, spot, dot, mark"
永 ,エイ ナガ. ,,"eternity, long, lengthy"
著 ,チョ チャク ,あらわ.す いちじる.しい ,"renowned, publish, write, remarkable, phenomenal, put on, don, wear, arrival, finish (race), counter for suit"
誌 ,シ ,,"document, records"
庫 ,コ ク ,くら ,"warehouse, storehouse"
刊 ,カン ,,"publish, carve, engrave"
像 ,ゾ ,,"statue, picture, image, figure, portrait"
香 ,コウ キョウ カオ. ,か かお.り ,"incense, smell, perfume"
欠 ,,あくび ,"lack, gap, fail"
更 ,コウ ,さら さら.に ふ.ける ふ.かす ,"grow late, night watch, sit up late, of course"
坂 ,ハン サ ,,"slope, incline, hill"
刻 ,コク ,きざ.む きざ.み ,"engrave, cut fine, chop, hash, mince, time, carving"
底 ,テイ ,そこ ,"bottom, sole, depth, bottom price, base, kind, sort"
賛 ,サン ,たす.ける たた.える ,"approve, praise, title or inscription on picture, assist, agree with"
抱 ,ホウ カカ.エ ,だ.く いだ.く ,"embrace, hug, hold in arms"
犯 ,ハン ボン ,おか.す ,"crime, sin, offense"
布 ,フ ヌ ,,"linen, cloth"
恐 ,キョウ ,おそ.れる おそ.る おそ.ろしい こわ.い こわ.がる ,"fear, dread, awe"
寺 ,ジ ,てら ,Buddhist temple
息 ,ソク ,いき ,"breath, respiration, son, interest (on money)"
宇 ,,,"eaves, roof, house, heaven"
遠 ,エン オン トオ. ,,"distant, far"
戻 ,レイ ,もど.す もど.る ,"re-, return, revert, resume, restore, go backwards"
巨 ,キ ,,"gigantic, big, large, great"
震 ,シン ,ふる.う ふる.える ,"quake, shake, tremble, quiver, shiver"
願 ,ガン -ネガ ,ねが.う ,"petition, request, vow, wish, hope"
絵 ,カイ エ ,,"picture, drawing, painting, sketch"
希 ,キ ケ マ ,,"hope, beg, request, pray, beseech, Greece, dilute (acid), rare, few, phenomenal"
越 ,エツ オツ -ゴ. ,こ.す -こ.す -ご.し こ.える ,"surpass, cross over, move to, exceed, Vietnam"
欲 ,ヨク ,ほっ.する ほ.しい ,"longing, covetousness, greed, passion, desire, craving"
痛 ,ツウ ,いた.い いた.む いた.ましい いた.める ,"pain, hurt, damage, bruise"
触 ,ショク ,ふ.れる さわ.る さわ ,"contact, touch, feel, hit, proclaim, announce, conflict"
依 ,イ エ ヨ. ,,"reliant, depend on, consequently, therefore, due to"
籍 ,セキ ,,"enroll, domiciliary register, membership"
汚 ,オ ,けが.す けが.れる けが.らわしい よご.す よご.れる きたな.い ,"dirty, pollute, disgrace, rape, defile"
枚 ,マイ バ ,,"sheet of..., counter for flat thin objects or sheets"
笑 ,ショウ エ. ,わら.う ,laugh
互 ,ゴ ,たが.い かたみ.に ,"mutually, reciprocally, together"
複 ,フク ,,"duplicate, double, compound, multiple"
郵 ,ユウ ,,"mail, stagecoach stop"
束 ,ソク ,たば たば.ねる つか つか.ねる ,"bundle, sheaf, ream, tie in bundles, govern, manage, control"
仲 ,チュウ ナ ,,"go-between, relationship"
栄 ,エイ ヨウ ,さか.える は.え -ば.え は.える ,"flourish, prosperity, honor, glory, splendor"
札 ,サツ フ ,,"tag, paper money, counter for bonds, placard, bid"
似 ,ジ ヒ. ,に.る ,"becoming, resemble, counterfeit, imitate, suitable"
板 ,ハン バン ,いた ,"plank, board, plate, stage"
列 ,レツ ,,"file, row, rank, tier, column"
探 ,タン ,さぐ.る さが.す ,"grope, search, look for"
逃 ,トウ ,に.げる に.がす のが.す のが.れる ,"escape, flee, shirk, evade, set free"
骨 ,コツ ,ほね ,"skeleton, bone, remains, frame"
傾 ,ケイ ,かたむ.く かたむ.ける かたぶ.く かた.げる かし.げる ,"lean, incline, tilt, trend, wane, sink, ruin, bias"
届 ,カイ ,とど.ける -とど.け とど.く ,"deliver, reach, arrive, report, notify, forward"
遊 ,ユウ ユ アソ.バ ,あそ.ぶ ,play
迷 ,メイ ,まよ.う ,"astray, be perplexed, in doubt, lost, err, illusion"
夢 ,ム ボウ ,ゆめ ゆめ.みる くら.い ,"dream, vision, illusion"
巻 ,カン ケン ,ま.く まき ま.き ,"scroll, volume, book, part, roll up, wind up, tie, coil, counter for texts (or book scrolls)"
君 ,クン -ギ ,きみ ,"old boy, name-suffix"
燃 ,ネン ,も.える も.やす も.す ,"burn, blaze, glow"
閉 ,ヘイ タ.テ ,と.じる と.ざす し.める し.まる ,"closed, shut"
緒 ,ショ チョ イトグ ,お ,"thong, beginning, inception, end, cord, strap"
跡 ,セキ ,あと ,"tracks, mark, print, impression"
包 ,ホウ クル. ,つつ.む ,"wrap, pack up, cover, conceal"
駐 ,チュウ ,,"stop-over, reside in, resident"
弱 ,ジャク ,よわ.い よわ.る よわ.まる よわ.める ,"weak, frail"
折 ,セツ オ.レ ,お.る おり お.り -お.り ,"fold, break, fracture, bend, yield, submit"
紹 ,ショ ,,"introduce, inherit, help"
草 ,ソウ -グ ,くさ くさ- ,"grass, weeds, herbs, pasture, write, draft"
雇 ,コ ,やと.う ,"employ, hire"
暮 ,ボ ク.ラ ,く.れる ,"livelihood, make a living, spend time"
替 ,タイ カ.ワ ,か.える か.え- ,"exchange, spare, substitute, per-"
預 ,ヨ ,あず.ける あず.かる ,"deposit, custody, leave with, entrust to"
焼 ,ショウ ヤ.ケ ,や.く や.き や.き- -や.き ,"bake, burning"
簡 ,カン ,,"simplicity, brevity"
章 ,ショ ,,"badge, chapter, composition, poem, design"
臓 ,ゾウ ,はらわた ,"entrails, viscera, bowels"
律 ,リツ リチ レ ,,"rhythm, law, regulation, gauge, control"
贈 ,ゾウ ソウ ,おく.る ,"presents, send, give to, award to, confer on, presenting something"
照 ,ショウ テ.レ ,て.る て.らす ,"illuminate, shine, compare, bashful"
酒 ,シュ ,さけ さか ,"sake, alcohol"
薄 ,ハク ,うす.い うす- -うす うす.める うす.まる うす.らぐ うす.ら- うす.れる すすき ,"dilute, thin, weak (tea)"
群 ,グン ムラ.ガ ,む.れる む.れ むら ,"flock, group, crowd, herd, swarm, cluster"
悲 ,ヒ ,かな.しい かな.しむ ,"jail cell, grieve, sad, deplore, regret"
秒 ,ビョウ ,,"second (1, 60 minute)"
奥 ,オウ オク ク ,おく.まる ,"heart, interior"
詰 ,キツ キチ ツ. ,つ.める つ.め -づ.め つ.まる ,"packed, close, pressed, reprove, rebuke, blame"
晴 ,セイ ハ.ラ ,は.れる は.れ は.れ- -ば.れ ,clear up
掛 ,カイ ケイ -ガカ ,か.ける -か.ける か.け -か.け -が.け か.かる -か.かる -が.かる か.かり -が.かり かかり ,"hang, suspend, depend, arrive at, tax, pour"
双 ,ソウ フタ ,ふた たぐい ならぶ ,"pair, set, comparison, counter for pairs"
刺 ,シ ,さ.す さ.さる さ.し さし とげ ,"thorn, pierce, stab, prick, sting, calling card"
到 ,トウ ,いた.る ,"arrival, proceed, reach, attain, result in"
寝 ,シン ,ね.る ね.かす い.ぬ みたまや や.める ,"lie down, sleep, rest, bed, remain unsold"
暗 ,アン ,くら.い ,"darkness, disappear, shade, informal, grow dark, be blinded"
純 ,ジュ ,,"genuine, purity, innocence, net (profit)"
盗 ,トウ ,ぬす.む ぬす.み ,"steal, rob, pilfer"
吸 ,キュウ ,す.う ,"suck, imbibe, inhale, sip"
翌 ,ヨク ,,"the following, next"
陽 ,ヨウ ,,"sunshine, yang principle, positive, male, heaven, daytime"
快 ,カイ ココロヨ. ,,"cheerful, pleasant, agreeable, comfortable"
片 ,ヘン ,かた- かた ,"one-sided, leaf, sheet"
敬 ,ケイ キョウ ウヤマ. ,,"awe, respect, honor, revere"
悩 ,ノウ ,なや.む なや.ます なや.ましい なやみ ,"trouble, worry, in pain, distress, illness"
泉 ,セン イズ ,,"spring, fountain"
御 ,ギョ ゴ ,おん- お- み ,"honorable, manipulate, govern"
皮 ,,けがわ ,"pelt, skin, hide, leather"
漁 ,ギョ リョウ ,あさ.る ,"fishing, fishery"
荒 ,コウ スサ. ,あら.い あら- あ.れる あ.らす -あ.らし ,"laid waste, rough, rude, wild"
貯 ,チョ ,た.める たくわ.える ,"savings, store, lay in, keep, wear mustache"
硬 ,コウ ,かた.い ,"stiff, hard"
歯 ,シ ,よわい は よわ.い よわい.する ,"tooth, cog"
埋 ,マイ ,う.める う.まる う.もれる うず.める うず.まる い.ける ,"bury, be filled up, embedded"
柱 ,チュウ ,はしら ,"pillar, post, cylinder, support"
祭 ,サイ ,まつ.る まつ.り まつり ,"ritual, offer prayers, celebrate, deify, enshrine, worship"
袋 ,タイ ダイ フク ,,"sack, bag, pouch"
忘 ,ボウ ,わす.れる ,forget
雪 ,セツ ユ ,,snow
筆 ,ヒツ フ ,,"writing brush, writing, painting brush, handwriting"
吹 ,スイ フ. ,,"blow, breathe, puff, emit, smoke"
訓 ,クン キン クン.ズ ,おし.える よ.む ,"instruction, Japanese character reading, explanation, read"
浴 ,ヨク ア.ビセ ,あ.びる ,"bathe, be favored with, bask in"
童 ,ドウ ワラ ,,"juvenile, child"
宝 ,ホウ タカ ,,"treasure, wealth, valuables"
封 ,フウ ホウ ,,"seal, closing"
胸 ,キョウ ,むね むな- ,"bosom, breast, chest, heart, feelings"
娘 ,ジョウ ,むすめ こ ,"daughter, girl"
砂 ,サ シャ ス ,,sand
塩 ,エン ,しお ,salt
誤 ,ゴ ,あやま.る -あやま.る ,"mistake, err, do wrong, mislead"
賢 ,ケン カシコ. ,,"intelligent, wise, wisdom, cleverness"
腕 ,ワン ,うで ,"arm, ability, talent"
洗 ,セン アラ. ,,"wash, inquire into, probe"
兆 ,チョウ ,きざ.す きざ.し ,"portent, 10**12, trillion, sign, omen, symptoms"
床 ,ショウ ,とこ ゆか ,"bed, floor, padding, tatami"
慣 ,カン ,な.れる な.らす ,"accustomed, get used to, become experienced"
毛 ,モウ ,,"fur, hair, feather, down"
緑 ,リョク ロク ,みどり ,green
尊 ,ソン トウト. ,たっと.い とうと.い たっと.ぶ ,"revered, valuable, precious, noble, exalted"
祝 ,シュク シュウ イワ. ,,"celebrate, congratulate"
礼 ,レイ ラ ,,"salute, bow, ceremony, thanks, remuneration"
窓 ,ソウ ス ,まど てんまど けむだし ,"window, pane"
柔 ,ジュウ ニュウ ヤワ. ,やわ.らか やわ.らかい やわ ,"tender, weakness, gentleness, softness"
昔 ,セキ シャク ,むかし ,"once upon a time, antiquity, old times"
殿 ,デン テン -ド ,との ,"Mr., hall, mansion, palace, temple, lord"
濃 ,ノウ コ. ,,"concentrated, thick, dark, undiluted"
液 ,エキ ,,"fluid, liquid, juice, sap, secretion"
貧 ,ヒン ビン ,まず.しい ,"poverty, poor"
衣 ,イ エ ,ころも きぬ -ぎ ,"garment, clothes, dressing"
肩 ,ケン ,かた ,shoulder
零 ,レイ ,ぜろ こぼ.す こぼ.れる ,"zero, spill, overflow, nothing, cipher"
怒 ,ド ヌ ,いか.る おこ.る ,"angry, be offended"
泳 ,エイ ,およ.ぐ ,swim
祖 ,,,"ancestor, pioneer, founder"
幼 ,ヨウ オサナ. ,,"infancy, childhood"
荷 ,カ ,,"baggage, shoulder-pole load, bear (a burden), shoulder (a gun), load, cargo, freight"
泊 ,ハク ト.メ ,と.まる ,"overnight, put up at, ride at anchor, 3-day stay"
杯 ,ハイ ,さかずき ,"counter for cupfuls, wine glass, glass, toast"
黄 ,コウ オウ ,き こ ,yellow
甘 ,カン ウマ. ,あま.い あま.える あま.やかす ,"sweet, coax, pamper, be content, sugary"
臣 ,シン ジ ,,"retainer, subject"
浅 ,セン アサ. ,,"shallow, superficial, frivolous, wretched, shameful"
掃 ,ソウ シュ ハ. ,,"sweep, brush"
雲 ,ウン -グ ,くも ,cloud
掘 ,クツ ホ. ,,"dig, delve, excavate"
疲 ,ヒ ,つか.れる -づか.れ つか.らす ,"exhausted, tire, weary"
捨 ,シャ ,す.てる ,"discard, throw away, abandon, resign, reject, sacrifice"
皆 ,カイ ミン ,みな ,"all, everything"
軟 ,ナン ,やわ.らか やわ.らかい ,soft
沈 ,チン ジン シズ.メ ,しず.む ,"sink, be submerged, subside, be depressed, aloes"
鳴 ,メイ ナ.ラ ,な.く な.る ,"chirp, cry, bark, sound, ring, echo, honk"
凍 ,トウ シ.ミ ,こお.る こご.える こご.る い.てる ,"frozen, congeal, refrigerate"
腹 ,フク ,はら ,"abdomen, belly, stomach"
乳 ,ニュウ ,ちち ち ,"milk, breasts"
煙 ,エン ケム. ,けむ.る けむり ,smoke
恋 ,レン ,こ.う こい こい.しい ,"romance, in love, yearn for, miss, darling"
紅 ,コウ ク アカ. ,べに くれない ,"crimson, deep red"
郊 ,コウ ,,"outskirts, suburbs, rural area"
腰 ,ヨウ コ ,,"loins, hips, waist, low wainscoting"
炭 ,タン ,すみ ,"charcoal, coal"
踊 ,ヨウ ,おど.る ,"jump, dance, leap, skip"
冊 ,サツ サク ,ふみ ,"tome, counter for books, volume"
眠 ,ミン ネム. ,ねむ.る ,"sleep, die, sleepy"
勇 ,ユウ イサ. ,,"courage, cheer up, be in high spirits, bravery, heroism"
械 ,カイ ,かせ ,"contraption, fetter, machine, instrument"
怖 ,フ ホ ,こわ.い こわ.がる お.じる おそ.れる ,"dreadful, be frightened, fearful"
菜 ,サイ ,,"vegetable, side dish, greens"
耳 ,ジ ミ ,,ear
珍 ,チン タカ ,めずら.しい ,"rare, curious, strange"
卵 ,ラン ,たまご ,"egg, ovum, spawn, roe"
湖 ,コ ミズウ ,,lake
喫 ,キツ ,,"consume, eat, drink, smoke, receive (a blow)"
干 ,カン ヒ. ,ほ.す ほ.し- -ぼ.し ,"dry, parch"
頂 ,チョウ ,いただ.く いただき ,"place on the head, receive, top of head, top, summit, peak"
虫 ,チュウ キ ム ,,"insect, bug, temper"
刷 ,サツ ,す.る -ず.り -ずり は.く ,"printing, print"
湯 ,トウ ,ゆ ,"hot water, bath, hot spring"
箱 ,ソウ ,はこ ,"box, chest, case, bin, railway car"
溶 ,ヨウ ,と.ける と.かす と.く ,"melt, dissolve, thaw"
鉱 ,コウ ,あらがね ,"mineral, ore"
涙 ,ルイ レイ ,なみだ ,"tears, sympathy"
匹 ,ヒツ ,ひき ,"equal, head, counter for small animals, roll of cloth"
孫 ,ソン マ ,,"grandchild, descendants"
鋭 ,エイ スルド. ,,"pointed, sharpness, edge, weapon, sharp, violent"
枝 ,シ エ ,,"bough, branch, twig, limb"
塗 ,ト ,ぬ.る ぬ.り まみ.れる ,"paint, plaster, daub, smear, coating"
軒 ,ケン ,のき ,"flats, counter for houses, eaves"
毒 ,ドク ,,"poison, virus, venom, germ, harm, injury, spite"
晩 ,バン ,,"nightfall, night"
叫 ,キョウ ,さけ.ぶ ,"shout, exclaim, yell"
拝 ,ハイ ,おが.む おろが.む ,"worship, adore, pray to"
氷 ,ヒョウ コオ. ,こおり ひ ,"icicle, ice, hail, freeze, congeal"
乾 ,カン ケン ,かわ.く かわ.かす ほ.す ひ.る いぬい ,"drought, dry, dessicate, drink up, heaven, emperor"
棒 ,ボウ ,,"rod, stick, cane, pole, club, line"
寒 ,カン サム. ,,cold
祈 ,キ イノ. ,,"pray, wish"
髪 ,ハツ カ ,,hair of the head
忙 ,ボウ モウ ,いそが.しい せわ.しい おそ.れる うれえるさま ,"busy, occupied, restless"
拾 ,シュウ ジュウ ,ひろ.う ,"pick up, gather, find, go on foot, ten"
粉 ,フン デシメートル ,こ こな ,"flour, powder, dust"
糸 ,シ ,いと ,thread
綿 ,メン ワ ,,cotton
才 ,サイ ,,"genius, years old, cubic shaku"
汗 ,カン ,あせ ,"sweat, perspire"
銅 ,ドウ ,あかがね ,copper
湿 ,シツ シュウ ,しめ.る しめ.す うるお.う うるお.す ,"damp, wet, moist"
瓶 ,ビン カ ,,"flower pot, bottle, vial, jar, jug, vat, urn"
咲 ,ショウ -ザ ,さ.く ,"blossom, bloom"
召 ,ショウ ,め.す ,"seduce, call, send for, wear, put on, ride in, buy, eat, drink, catch (cold)"
缶 ,カン カ ,,"tin can, container"
隻 ,セキ ,,"vessels, counter for ships, fish, birds, arrows, one of a pair"
脂 ,シ ,あぶら ,"fat, grease, tallow, lard, rosin, gum, tar"
蒸 ,ジョウ セイ ,む.す む.れる む.らす ,"steam, heat, sultry, foment, get musty"
肌 ,キ ,はだ ,"texture, skin, body, grain"
靴 ,カ ,くつ ,shoes
耕 ,コウ タガヤ. ,,"till, plow, cultivate"
鈍 ,ドン ,にぶ.い にぶ.る にぶ- なま.る なまく.ら ,"dull, slow, foolish, blunt"
恥 ,チ ,は.じる はじ は.じらう は.ずかしい ,"shame, dishonor"
泥 ,デイ ナイ デ ニ ド ,,"mud, mire, adhere to, be attached to"
隅 ,グウ ,すみ ,"corner, nook"
偶 ,グウ ,たま ,"accidentally, even number, couple, man & wife, same kind"
灯 ,トウ ,ひ ほ- ともしび とも.す あかり ,"lamp, a light, light, counter for lights"
辛 ,シン ,から.い つら.い -づら.い かのと ,"spicy, bitter, hot, acrid"
磨 ,マ ス. ,みが.く ,"grind, polish, scour, improve, brush (teeth)"
麦 ,バク ,むぎ ,"barley, wheat"
姓 ,セイ ショウ ,,surname
筒 ,トウ ,つつ ,"cylinder, pipe, tube, gun barrel, sleeve"
鼻 ,ビ ,はな ,"nose, snout"
粒 ,リュウ ,つぶ ,"grains, drop, counter for tiny particles"
詞 ,シ ,,"part of speech, words, poetry"
偉 ,イ エラ. ,,"admirable, greatness, remarkable, conceited, famous, excellent"
胃 ,イ ,,"stomach, paunch, crop, craw"
畳 ,ジョウ チョウ ,たた.む たたみ かさ.なる ,"tatami mat, counter for tatami mats, fold, shut up, do away with"
机 ,キ ,つくえ ,"desk, table"
膚 ,フ ,はだ ,"skin, body, grain, texture, disposition"
濯 ,タク ,すす.ぐ ゆす.ぐ ,"laundry, wash, pour on, rinse"
猫 ,ビョウ ,ねこ ,cat
塔 ,トウ ,,"pagoda, tower, steeple"
沸 ,フツ ,わ.く わ.かす ,"seethe, boil, ferment, uproar, breed"
灰 ,カイ ,はい ,"ashes, puckery juice, cremate"
菓 ,カ ,,"candy, cakes, fruit"
幾 ,キ イク. ,いく- いく.つ ,"how many, how much, how far, how long"
帽 ,ボウ モウ ,ずきん おお.う ,"cap, headgear"
枯 ,コ ,か.れる か.らす ,"wither, die, dry up, be seasoned"
涼 ,リョウ マコト ,すず.しい すず.む すず.やか うす.い ひや.す ,"refreshing, nice and cool"
舟 ,シュウ ,ふね ふな- -ぶね ,"boat, ship"
貝 ,バイ ,かい ,shellfish
符 ,フ ,,"token, sign, mark, tally, charm"
憎 ,ゾウ ,にく.む にく.い にく.らしい にく.しみ ,"hate, detest"
皿 ,ベイ ,さら ,"dish, a helping, plate"
肯 ,コウ ,がえんじ.る ,"agreement, consent, comply with"
燥 ,ソウ ,はしゃ.ぐ ,"parch, dry up"
畜 ,チク ,,"livestock, domestic fowl and animals"
挟 ,キョウ ショウ ,はさ.む はさ.まる わきばさ.む さしはさ.む ,"pinch, between"
曇 ,ドン クモ. ,,"cloudy weather, cloud up"
滴 ,テキ ,しずく したた.る ,"drip, drop"
伺 ,シ ,うかが.う ,"pay respects, visit, ask, inquire, question, implore"
会 ,カイ エ アツ.マ ,あ.う あ.わせる ,"meeting, meet, party, association, interview, join"
同 ,ドウ ,おな.じ ,"same, agree, equal"
事 ,ジ ズ ツカ.エ ,こと つか.う ,"matter, thing, fact, business, reason, possibly"
自 ,ジ シ オノ.ズ ,みずか.ら おの.ずから ,oneself
社 ,シャ ヤシ ,,"company, firm, office, association, shrine"
発 ,ハツ ホツ ハナ. ,た.つ あば.く おこ.る つか.わす ,"discharge, departure, publish, emit, start from, disclose"
者 ,シャ ,もの ,"someone, person"
地 ,チ ,,"ground, earth"
業 ,ギョウ ゴウ ワ ,,"business, vocation, arts, performance"
方 ,ホウ -ガ ,かた -かた ,"direction, person, alternative"
新 ,シン ,あたら.しい あら.た あら- にい ,new
場 ,ジョウ チョウ ,ば ,"location, place"
員 ,イ ,,"employee, member, number, the one in charge"
立 ,リツ リュウ リットル -ダ.テ ,た.つ -た.つ た.ち- た.てる -た.てる た.て- たて- -た.て -だ.て ,stand up
開 ,カイ ア.ケ ,ひら.く ひら.き -びら.き ひら.ける あ.く ,"open, unfold, unseal"
手 ,シュ ズ ,て て- -て た- ,hand
力 ,リョク リキ リイ チカ ,,"power, strong, strain, bear up, exert"
問 ,モン ト ,と.う と.い ,"question, ask, problem"
代 ,ダイ タイ シ ,か.わる かわ.る かわ.り -がわ.り か.える よ ,"substitute, change, convert, replace, period, age, generation, charge, rate, fee"
